id,name,host_id,host_name,price
96033,Rental unit in Málaga · ★4.62 · 2 bedrooms · 2 beds · 1 bath,510467,Rafael,53.0
166473,Rental unit in Málaga · ★4.73 · 1 bedroom · 4 beds · 2 shared baths,793360,Fred,19.0
212845,Rental unit in Málaga · ★4.81 · 1 bedroom · 2 beds · 1.5 shared baths,617998,Valle,43.0
330760,Townhouse in Málaga · ★4.50 · 1 bedroom · 1 bed · 1.5 shared baths,1687526,Mayte,44.0
340024,Rental unit in Málaga · ★4.83 · 1 bedroom · 1 bed · 1 bath,1725690,Carlos,61.0
358541,Rental unit in Málaga · ★4.76 · 1 bedroom · 1 bed · 1 bath,1526932,Cristina,93.0
413063,Rental unit in Málaga · ★4.61 · 1 bedroom · 1 bed · 1 bath,2055304,Michael,86.0
421077,Rental unit in Málaga · ★4.55 · 1 bedroom · 1 bed · 1 bath,2092252,Juliette,81.0
427860,Home in Málaga · ★4.35 · 1 bedroom · 2 beds · 1 shared bath,2126353,Pablo,45.0
505688,Loft in Málaga · ★4.71 · 2 bedrooms · 2 beds · 1 bath,2489890,Fede,71.0
507961,Loft in Málaga · ★4.79 · 1 bedroom · 1 bed · 1 bath,2489890,Fede,68.0
508787,Loft in Málaga · ★4.59 · 1 bedroom · 1 bed · 1 bath,2489890,Fede,49.0
509073,Loft in Málaga · ★4.67 · 1 bedroom · 1 bed · 1 bath,2489890,Fede,51.0
550804,Rental unit in Málaga · ★4.28 · Studio · 1 bed · 1.5 baths,2707228,Alfonso,49.0
577612,Rental unit in Málaga · ★4.72 · 3 bedrooms · 3 beds · 1 bath,2840633,Carolina,192.0
603361,Rental unit in Málaga · ★4.80 · 1 bedroom · 2 beds · 1 private bath,2986899,Andrés,55.0
611037,Rental unit in Málaga · ★4.66 · 1 bedroom · 1 bed · 1 bath,3029584,Javier - Cap,92.0
634046,Condo in Málaga · ★4.67 · 3 bedrooms · 4 beds · 2 baths,2489890,Fede,79.0
655701,Rental unit in Málaga · ★4.55 · 2 bedrooms · 6 beds · 1 bath,3301281,Mariano,93.0
663794,Rental unit in Málaga · ★4.37 · 3 bedrooms · 3 beds · 1 bath,3301281,Mariano,71.0
718943,Rental unit in Málaga · ★4.33 · 3 bedrooms · 5 beds · 1 bath,3083727,Loly  &,141.0
726869,Home in Málaga · ★4.78 · 2 bedrooms · 3 beds · 1 bath,3764491,Alicia,73.0
730403,Rental unit in Málaga · ★3.60 · 1 bedroom · 1 bed · 1.5 shared baths,3798354,Silvia,30.0
739253,Home in Málaga · ★4.92 · 2 bedrooms · 2 beds · 1 private bath,3853586,Liz,65.0
744037,Rental unit in Málaga · ★4.70 · 2 bedrooms · 2 beds · 1 bath,3899104,Alejandro,80.0
746003,Rental unit in Málaga · ★5.0 · 1 bedroom · 3 beds · 1 bath,3912651,Juan Francisco,86.0
753119,Rental unit in Málaga · ★4.86 · 2 bedrooms · 3 beds · 1 bath,3912651,Juan Francisco,99.0
753252,Rental unit in Málaga · ★4.95 · 2 bedrooms · 2 beds · 1 bath,3912651,Juan Francisco,101.0
783360,Rental unit in Málaga · ★4.74 · 4 bedrooms · 7 beds · 2.5 baths,3301281,Mariano,162.0
786626,Rental unit in Málaga · ★4.25 · 1 bedroom · 1 bed · 1 bath,4147118,Apartamentos San Pablo,79.0
786638,Rental unit in Málaga · ★5.0 · Studio · 1 bed · 1.5 baths,4147118,Apartamentos San Pablo,150.0
786648,Serviced apartment in Málaga · 1 bedroom · 2 beds · 1 bath,4147118,Apartamentos San Pablo,150.0
786651,Rental unit in Málaga · 2 bedrooms · 3 beds · 1 bath,4147118,Apartamentos San Pablo,116.0
786656,Rental unit in Málaga · 1 bedroom · 1 bed · 1 bath,4147118,Apartamentos San Pablo,90.0
786663,Rental unit in Málaga · 1 bedroom · 3 beds · 1 bath,4147118,Apartamentos San Pablo,150.0
787704,Rental unit in Málaga · ★4.88 · 1 bedroom · 2 beds · 1 shared bath,4150267,MCarmen,28.0
844426,Rental unit in Málaga · ★4.07 · 2 bedrooms · 2 beds · 1 bath,3686400,Manuel,176.0
905123,Rental unit in Málaga · ★4.19 · 3 bedrooms · 5 beds · 1 bath,4841998,Emilia Y Pepe,154.0
964289,Rental unit in Málaga · ★3.70 · 4 bedrooms · 8 beds · 1.5 baths,4841998,Emilia Y Pepe,170.0
989188,Rental unit in Málaga · ★4.90 · 1 bedroom · 2 beds · 1 bath,5430318,Benno,80.0
989607,Rental unit in Málaga · ★4.92 · 1 bedroom · 2 beds · 1 bath,5430318,Benno,80.0
990183,Loft in Málaga · ★4.88 · 1 bedroom · 1 bed · 1 bath,5437078,Maricruz,99.0
1004920,Rental unit in Málaga · ★4.49 · 2 bedrooms · 3 beds · 1 bath,5527354,Asyr Asesores S L,121.0
